Occurred At,DHT-11 Temp,DHT-11 Humidity,BMP-280 Temp,BMP-280 Pressure,BMP-280 Altitude,Weather Condition
"August 5, 2022 at 03:13PM",31.8,62,32.11,97854.36,293.05,Humid
"August 5, 2022 at 03:15PM",31.8,63,32.12,97848.83,293.52,Humid
"August 5, 2022 at 03:16PM",31.8,63,32.08,97848.64,293.54,Humid
"August 5, 2022 at 03:17PM",31.8,63,32.08,97848.64,293.54,Humid
"August 5, 2022 at 03:18PM",31.8,63,32.08,97846.02,293.76,Humid
"August 5, 2022 at 03:20PM",31.8,62,32.02,97842.25,294.08,Humid
"August 5, 2022 at 03:21PM",31.8,63,32.06,97841.75,294.13,Humid
"August 5, 2022 at 03:22PM",31.8,63,32.05,97838.72,294.39,Humid
"August 5, 2022 at 03:23PM",31.8,64,32.06,97836.55,294.57,Humid
"August 5, 2022 at 03:24PM",31.8,64,32,97836.23,294.6,Humid
"August 5, 2022 at 03:25PM",31.8,63,31.96,97834.47,294.75,Humid
"August 5, 2022 at 03:27PM",31.8,64,32.04,97832.77,294.9,Humid
"August 5, 2022 at 03:28PM",31.8,64,32.04,97832.06,294.96,Humid
"August 5, 2022 at 03:29PM",31.8,64,32.13,97831.88,294.97,Humid
"August 5, 2022 at 03:30PM",31.8,63,32.18,97834.2,294.77,Humid
"August 5, 2022 at 03:31PM",31.8,62,32.15,97830.75,295.07,Humid
"August 5, 2022 at 03:33PM",31.8,62,32.12,97835.96,294.62,Humid
"August 5, 2022 at 03:34PM",31.8,62,32.16,97832,294.96,Humid
"August 5, 2022 at 03:35PM",31.8,62,32.17,97830.7,295.07,Humid
"August 5, 2022 at 03:36PM",31.8,62,32.15,97829.34,295.19,Humid
"August 5, 2022 at 03:37PM",31.8,62,32.17,97831.36,295.02,Humid
"August 5, 2022 at 03:39PM",31.8,62,32.2,97832.56,294.91,Humid
"August 5, 2022 at 03:40PM",31.8,62,32.17,97832.4,294.93,Humid
"August 5, 2022 at 03:41PM",31.8,62,32.15,97830.59,295.08,Humid
"August 5, 2022 at 03:42PM",31.8,62,32.2,97827.88,295.31,Humid
"August 5, 2022 at 03:43PM",31.8,62,32.21,97826.55,295.43,Humid
"August 5, 2022 at 03:44PM",31.8,62,32.2,97826.64,295.42,Humid
"August 5, 2022 at 03:46PM",31.8,62,32.21,97825.3,295.54,Humid
"August 5, 2022 at 03:47PM",31.8,62,32.22,97823.28,295.71,Humid
"August 5, 2022 at 03:48PM",31.8,62,32.13,97822.83,295.75,Humid
"August 5, 2022 at 03:49PM",31.8,62,32.16,97821.77,295.84,Humid
"August 5, 2022 at 03:50PM",31.8,62,32.18,97820.65,295.93,Humid
"August 5, 2022 at 03:52PM",31.8,63,32.18,97816.67,296.27,Humid
"August 5, 2022 at 03:53PM",31.8,62,32.15,97815.67,296.36,Humid
"August 5, 2022 at 03:54PM",31.8,62,32.21,97812.16,296.66,Humid
"August 5, 2022 at 03:55PM",31.8,62,32.2,97814.52,296.46,Humid
"August 5, 2022 at 03:56PM",31.8,62,32.08,97815.47,296.38,Humid
"August 5, 2022 at 03:58PM",31.8,62,32.06,97814.31,296.48,Humid
"August 5, 2022 at 03:59PM",31.8,62,32.1,97811.91,296.68,Humid
"August 5, 2022 at 04:00PM",31.8,62,32.03,97810.2,296.83,Humid
"August 5, 2022 at 04:01PM",31.8,62,32.01,97807.32,297.08,Humid
"August 5, 2022 at 04:02PM",31.8,62,32.13,97805.65,297.22,Humid
"August 5, 2022 at 04:03PM",31.8,62,32.06,97807.21,297.09,Humid
"August 5, 2022 at 04:05PM",31.8,62,32.01,97804.38,297.33,Humid
"August 5, 2022 at 04:06PM",31.8,62,32.08,97801.77,297.55,Humid
"August 5, 2022 at 04:07PM",31.8,62,32.07,97800.33,297.67,Humid
"August 5, 2022 at 04:08PM",31.8,62,32.01,97797.78,297.89,Humid
"August 5, 2022 at 04:09PM",31.8,62,31.99,97798,297.87,Humid
"August 5, 2022 at 04:11PM",31.8,62,32.03,97794.41,298.18,Humid
"August 5, 2022 at 04:12PM",31.8,62,31.99,97791.75,298.41,Humid
"August 5, 2022 at 04:13PM",31.8,62,31.96,97792.14,298.38,Humid
"August 5, 2022 at 04:14PM",31.8,62,32.05,97789.67,298.59,Humid
"August 5, 2022 at 04:15PM",31.8,62,32.04,97787.3,298.79,Humid
"August 5, 2022 at 04:16PM",31.8,62,31.96,97786.94,298.82,Humid
"August 5, 2022 at 04:18PM",31.8,62,31.97,97784,299.07,Humid
"August 5, 2022 at 04:19PM",31.8,62,31.99,97780.49,299.37,Humid
"August 5, 2022 at 04:20PM",31.8,62,31.95,97783.92,299.08,Humid
"August 5, 2022 at 04:21PM",31.8,62,31.95,97780.96,299.33,Humid
"August 5, 2022 at 04:22PM",31.8,62,32.02,97779.23,299.48,Humid
"August 5, 2022 at 04:24PM",31.8,62,31.95,97779.28,299.48,Humid
"August 5, 2022 at 04:25PM",31.8,62,31.91,97778.51,299.54,Humid
"August 5, 2022 at 04:26PM",31.8,62,31.96,97778.61,299.54,Humid
"August 5, 2022 at 04:27PM",31.8,63,31.96,97778.78,299.52,Humid
"August 5, 2022 at 04:33PM",31.8,62,31.93,97781.04,299.33,Humid
"August 5, 2022 at 04:34PM",31.8,64,31.92,97783.11,299.15,Humid
"August 5, 2022 at 04:35PM",31.8,64,31.91,97783.21,299.14,Humid
"August 5, 2022 at 04:36PM",31.8,63,30.69,97987.92,281.61,Humid
"August 6, 2022 at 10:12AM",29.8,70,30.7,97988.87,281.53,Humid
"August 6, 2022 at 10:13AM",29.8,70,30.73,97986.09,281.77,Humid
"August 6, 2022 at 10:14AM",29.8,69,30.83,97984.93,281.87,Humid
"August 6, 2022 at 10:15AM",29.8,69,30.87,97984.3,281.92,Humid
"August 6, 2022 at 10:17AM",29.8,69,30.9,97983.47,281.99,Humid
"August 6, 2022 at 10:18AM",30.2,68,30.94,97988.03,281.6,Humid
"August 6, 2022 at 10:19AM",30.2,68,30.97,97984.75,281.89,Humid
"August 6, 2022 at 10:20AM",30.2,67,30.92,97989.28,281.5,Humid
"August 6, 2022 at 10:21AM",30.2,67,30.97,97989.21,281.5,Humid
"August 6, 2022 at 10:23AM",30.2,67,30.98,97990.66,281.38,Humid
"August 6, 2022 at 10:24AM",30.2,67,30.99,97989.39,281.49,Humid
"August 6, 2022 at 10:25AM",30.2,67,31.01,97991.9,281.27,Humid
"August 6, 2022 at 10:26AM",30.2,67,31.04,97991.71,281.29,Humid
"August 6, 2022 at 10:27AM",30.2,67,31.02,97989.86,281.45,Humid
"August 6, 2022 at 10:28AM",30.2,67,31.06,97988.34,281.58,Humid
"August 6, 2022 at 10:30AM",30.2,67,31.1,97990.7,281.38,Humid
"August 6, 2022 at 10:31AM",30.2,67,31.14,97990.56,281.39,Humid
"August 6, 2022 at 10:32AM",30.2,67,31.14,97991.59,281.3,Humid
"August 6, 2022 at 10:33AM",30.2,67,31.16,97989.45,281.48,Humid
"August 6, 2022 at 10:34AM",30.2,67,31.17,97990.21,281.42,Humid
"August 6, 2022 at 10:36AM",30.2,67,31.17,97991.41,281.32,Humid
"August 6, 2022 at 10:37AM",30.2,67,31.19,97991.53,281.31,Humid
"August 6, 2022 at 10:38AM",30.2,67,31.22,97988.94,281.53,Humid
"August 6, 2022 at 10:39AM",30.7,67,31.2,97990.92,281.36,Humid
"August 6, 2022 at 10:40AM",30.8,67,31.22,97991.22,281.33,Humid
"August 6, 2022 at 10:41AM",30.8,67,31.26,97992.78,281.2,Humid
"August 6, 2022 at 10:43AM",30.8,67,31.27,97993.89,281.1,Humid
"August 6, 2022 at 10:44AM",30.8,67,31.31,97993.57,281.13,Humid
"August 6, 2022 at 10:45AM",30.8,67,31.32,97994.56,281.05,Humid
"August 6, 2022 at 10:46AM",30.8,67,31.33,97991.28,281.33,Humid
"August 6, 2022 at 10:47AM",30.8,67,31.36,97993.92,281.1,Humid
"August 6, 2022 at 10:49AM",30.8,67,31.4,97994.81,281.03,Humid
"August 6, 2022 at 10:50AM",30.8,67,31.39,97992.16,281.25,Humid
"August 6, 2022 at 10:51AM",30.8,67,31.37,97995.7,280.95,Humid
"August 6, 2022 at 10:52AM",30.8,66,31.47,97996.59,280.87,Humid
"August 6, 2022 at 10:53AM",30.8,67,31.51,97994.21,281.08,Humid
"August 6, 2022 at 10:55AM",30.8,66,31.46,97993.06,281.17,Humid
"August 6, 2022 at 10:56AM",30.8,66,31.49,97989.1,281.51,Humid
"August 6, 2022 at 10:57AM",30.8,66,31.53,97992.75,281.2,Humid
"August 6, 2022 at 10:58AM",30.8,66,31.56,97989.84,281.45,Humid
"August 6, 2022 at 10:59AM",30.8,66,31.55,97990.28,281.41,Humid
"August 6, 2022 at 11:00AM",30.8,65,31.53,97988.95,281.53,Humid
"August 6, 2022 at 11:02AM",30.8,66,31.5,97988.1,281.6,Humid
"August 6, 2022 at 11:03AM",30.8,66,31.45,97985.92,281.79,Humid
"August 6, 2022 at 11:04AM",30.8,66,31.41,97985.31,281.84,Humid
"August 6, 2022 at 11:05AM",30.8,66,31.43,97981.47,282.17,Humid
"August 6, 2022 at 11:06AM",30.8,66,31.41,97980.64,282.24,Humid
"August 6, 2022 at 11:08AM",30.8,66,31.45,97980.17,282.28,Humid
"August 6, 2022 at 11:09AM",30.8,67,31.34,97978.16,282.45,Humid
"August 6, 2022 at 11:10AM",30.8,66,31.31,97979.57,282.33,Humid
"August 6, 2022 at 11:11AM",30.8,67,31.3,97979.5,282.33,Humid
"August 6, 2022 at 11:12AM",30.8,67,31.23,97979.14,282.37,Humid
"August 6, 2022 at 11:13AM",30.8,67,31.26,97977.75,282.48,Humid
"August 6, 2022 at 11:15AM",30.8,67,31.29,97977.21,282.53,Humid
"August 6, 2022 at 11:16AM",30.8,67,31.36,97977.11,282.54,Humid
"August 6, 2022 at 11:17AM",30.8,67,31.42,97977.08,282.54,Humid
"August 6, 2022 at 11:18AM",30.8,67,31.41,97977,282.55,Humid
"August 6, 2022 at 11:19AM",30.8,67,31.43,97973.14,282.88,Humid
"August 6, 2022 at 04:23PM",33.3,59,34.36,97584.52,316.18,Humid
"August 6, 2022 at 04:24PM",33.8,58,34.6,97590.61,315.66,Cloudy
"August 6, 2022 at 04:26PM",33.8,56,34.95,97592.36,315.51,Cloudy
"August 6, 2022 at 04:27PM",34.2,55,35.22,97593.11,315.44,Cloudy
"August 6, 2022 at 04:28PM",34.7,55,35.47,97596,315.2,Cloudy
"August 6, 2022 at 04:29PM",34.7,55,35.85,97594.93,315.29,Cloudy
"August 6, 2022 at 04:30PM",35.2,54,36.76,97599.3,314.91,Less Cloudy
"August 6, 2022 at 04:32PM",35.6,53,38.47,97598.47,314.98,Sunny
"August 6, 2022 at 04:33PM",37.4,49,39.59,97593.48,315.41,Sunny
"August 6, 2022 at 04:34PM",38,45,39.01,97592.8,315.47,Sunny
"August 6, 2022 at 04:35PM",38.5,46,40.12,97597,315.11,Sunny
"August 6, 2022 at 04:36PM",39,44,40.52,97599.38,314.91,Sunny
"August 6, 2022 at 04:38PM",39.5,44,40.88,97596.72,315.13,Sunny
"August 6, 2022 at 04:39PM",40.1,42,39.7,97593.13,315.44,Sunny
"August 6, 2022 at 04:40PM",39.5,43,38.82,97594.2,315.35,Sunny
"August 6, 2022 at 04:41PM",39,44,38.32,97594.85,315.29,Sunny
"August 6, 2022 at 04:42PM",38.5,46,38.07,97596.45,315.16,Sunny
"August 6, 2022 at 04:43PM",38,48,37.85,97599.84,314.87,Sunny
"August 6, 2022 at 04:45PM",38,49,37.61,97602.44,314.64,Sunny
"August 6, 2022 at 04:46PM",38,49,37.53,97610.34,313.96,Sunny
"August 6, 2022 at 04:47PM",38,48,37.35,97618.3,313.28,Sunny
"August 6, 2022 at 04:48PM",38,49,36.98,97618.75,313.24,Sunny
"August 6, 2022 at 04:49PM",37.4,50,36.64,97620.46,313.1,Sunny
"August 6, 2022 at 04:51PM",37.4,50,36.58,97621.01,313.05,Sunny
"August 6, 2022 at 04:52PM",36.9,50,36.36,97619.84,313.15,Sunny
"August 6, 2022 at 04:53PM",36.9,51,36.12,97621.78,312.98,Sunny
"August 6, 2022 at 04:54PM",36.9,52,35.96,97621.3,313.03,Sunny
"August 6, 2022 at 04:55PM",36.9,53,35.9,97623.17,312.86,Less Cloudy
"August 6, 2022 at 04:56PM",36.4,53,35.84,97628.26,312.43,Less Cloudy
"August 6, 2022 at 04:58PM",36.3,53,35.79,97630.87,312.2,Less Cloudy
"August 6, 2022 at 04:59PM",36.3,54,35.6,97632.19,312.09,Cloudy
"August 6, 2022 at 05:00PM",36.3,54,35.48,97639.14,311.49,Cloudy
"August 6, 2022 at 05:01PM",36.3,54,35.28,97646.31,310.88,Cloudy
"August 6, 2022 at 05:02PM",35.6,55,35.08,97650.36,310.53,Cloudy
"August 6, 2022 at 05:04PM",35.6,54,35.03,97652.09,310.38,Cloudy
"August 6, 2022 at 05:05PM",35.6,54,34.95,97656.31,310.02,Cloudy
"August 6, 2022 at 05:06PM",35.6,55,34.85,97663.47,309.41,Cloudy
"August 6, 2022 at 05:07PM",35.2,55,34.84,97673.2,308.57,Cloudy
"August 6, 2022 at 05:08PM",35.2,55,34.65,97685.75,307.5,Cloudy
"August 6, 2022 at 05:09PM",35.2,56,34.35,97698.33,306.42,Cloudy
"August 6, 2022 at 05:11PM",35.2,58,34.2,97700.89,306.2,Rainy
"August 6, 2022 at 05:12PM",34.7,60,33.91,97699.75,306.3,Rainy
"August 6, 2022 at 05:13PM",34.7,61,33.77,97687.53,307.34,Rainy
"August 6, 2022 at 05:14PM",34.2,62,33.62,97680.12,307.98,Rainy
"August 6, 2022 at 05:15PM",34.2,63,33.71,97674.23,308.48,Rainy
"August 6, 2022 at 05:17PM",34.2,63,33.66,97677.34,308.22,Rainy
"August 6, 2022 at 05:18PM",34.2,63,33.6,97673.78,308.52,Rainy
"August 6, 2022 at 05:19PM",34.2,63,33.62,97674.88,308.43,Rainy
"August 6, 2022 at 05:20PM",34.2,63,33.66,97677.52,308.2,Rainy
"August 6, 2022 at 05:21PM",34.2,63,33.68,97681.75,307.84,Rainy
"August 6, 2022 at 05:23PM",34.2,63,33.58,97685.67,307.5,Rainy
"August 6, 2022 at 05:24PM",34.2,63,33.65,97688.41,307.27,Rainy
"August 6, 2022 at 05:25PM",34.2,63,33.78,97688.06,307.3,Rainy
"August 6, 2022 at 05:26PM",34.2,64,33.82,97689.13,307.21,Rainy
"August 6, 2022 at 05:27PM",34.2,64,33.8,97690.42,307.1,Rainy
"August 6, 2022 at 05:28PM",34.2,64,34,97687.91,307.31,Rainy
"August 6, 2022 at 05:30PM",34.7,63,34.17,97686.34,307.45,Rainy
"August 6, 2022 at 05:31PM",34.7,64,34.47,97679.14,308.06,Rainy
"August 6, 2022 at 05:32PM",35.2,62,34.25,97675.82,308.35,Rainy
"August 6, 2022 at 05:33PM",35.2,62,34.21,97672.41,308.64,Rainy
"August 6, 2022 at 05:34PM",34.7,64,34.41,97675.05,308.41,Rainy
"August 6, 2022 at 05:36PM",35.2,63,34.45,97670.89,308.77,Humid
"August 6, 2022 at 05:37PM",35.2,62,34.45,97667.23,309.08,Humid
"August 6, 2022 at 05:38PM",34.7,63,34.32,97665.32,309.25,Humid
"August 6, 2022 at 05:39PM",35.2,63,34.18,97663.91,309.37,Humid
"August 6, 2022 at 05:41PM",34.7,64,34.06,97664.66,309.3,Humid
"August 6, 2022 at 05:42PM",34.7,64,33.96,97665.45,309.24,Humid
"August 6, 2022 at 05:43PM",34.7,64,34.01,97667.59,309.05,Humid
"August 6, 2022 at 05:44PM",34.7,63,33.98,97669.06,308.93,Humid
"August 6, 2022 at 05:45PM",34.7,63,33.94,97668.55,308.97,Humid
"August 6, 2022 at 05:46PM",34.7,63,33.85,97667.28,309.08,Humid
"August 6, 2022 at 05:48PM",34.7,63,33.77,97669.61,308.88,Humid
"August 6, 2022 at 05:49PM",34.7,64,33.76,97671.81,308.69,Humid
"August 6, 2022 at 05:50PM",34.2,65,33.69,97677.59,308.2,Humid
"August 6, 2022 at 05:51PM",34.2,65,33.67,97682.23,307.8,Humid
"August 6, 2022 at 05:52PM",34.2,65,33.53,97683.37,307.7,Humid
"August 6, 2022 at 05:54PM",34.2,64,33.47,97684.36,307.62,Humid
"August 6, 2022 at 05:55PM",34.2,64,33.4,97686.85,307.4,Humid
"August 6, 2022 at 05:56PM",34.2,64,33.39,97688.89,307.23,Humid
"August 6, 2022 at 05:57PM",34.2,65,33.25,97692.95,306.88,Humid
"August 6, 2022 at 05:58PM",33.8,65,33.26,97694.59,306.74,Humid
"August 6, 2022 at 06:00PM",33.8,66,33.14,97694.05,306.78,Humid
"August 6, 2022 at 06:01PM",33.8,66,33.15,97695.3,306.66,Humid
